Customer_ID,Age,Gender,Location,Customer_Type,Total_Orders,Total_Spend,Avg_Order_Value,Product_Category,Purchase_Frequency,Discount_Used,Customer_Rating,Age_Group
CUST0001,56,Female,Jaipur,Returning,1,3248.46,3248.46,Fashion,Low,Yes,3.8,56-65
CUST0002,46,Male,Jaipur,Returning,20,69426.0,3471.3,Home & Kitchen,Very High,Yes,3.6,46-55
CUST0003,32,Female,Kolkata,Returning,17,97172.0,5716.0,Fashion,Very High,No,3.8,26-35
CUST0004,60,Female,Hyderabad,Returning,12,40970.28,3414.19,Sports,High,No,4.3,56-65
CUST0005,25,Male,Jaipur,New,15,57978.0,3865.2,Beauty,Very High,Yes,3.2,18-25
CUST0006,38,Male,Jaipur,Returning,1,2281.58,2281.58,Beauty,Low,Yes,4.9,36-45
CUST0007,56,Male,Lucknow,New,14,46191.46,3299.39,Home & Kitchen,High,Yes,4.3,56-65
CUST0008,36,Female,Delhi,Returning,6,13227.12,2204.52,Beauty,Medium,Yes,3.7,36-45
CUST0009,40,Male,Hyderabad,Returning,5,5244.85,1048.97,Fashion,Medium,No,4.4,36-45
CUST0010,28,Male,Hyderabad,New,11,55284.46,5025.86,Fashion,High,Yes,4.7,26-35
CUST0011,28,Male,Pune,Returning,4,22046.4,5511.6,Beauty,Low,No,3.8,26-35
CUST0012,41,Female,Pune,New,13,66900.34,5146.18,Fashion,High,No,3.9,36-45
CUST0013,53,Female,Jaipur,New,11,43738.31,3976.21,Electronics,High,Yes,4.8,46-55
CUST0014,57,Female,Chennai,Returning,3,10045.17,3348.39,Electronics,Low,No,5.0,56-65
CUST0015,41,Male,Pune,Returning,1,6975.0,6975.0,Electronics,Low,Yes,4.0,36-45
CUST0016,20,Female,Jaipur,Returning,6,26358.66,4393.11,Sports,Medium,Yes,3.4,18-25
CUST0017,39,Female,Ahmedabad,New,18,73689.48,4093.86,Home & Kitchen,Very High,Yes,3.7,36-45
CUST0018,19,Female,Bengaluru,New,10,6923.2,692.32,Beauty,High,Yes,4.6,18-25
CUST0019,41,Female,Bengaluru,New,5,15296.8,3059.36,Fashion,Medium,Yes,3.4,36-45
CUST0020,61,Male,Hyderabad,New,10,33514.7,3351.47,Fashion,High,Yes,3.9,56-65
CUST0021,47,Male,Chennai,Returning,12,41894.04,3491.17,Fashion,High,No,4.2,46-55
CUST0022,55,Female,Lucknow,Returning,2,9702.58,4851.29,Beauty,Low,No,3.5,46-55
CUST0023,19,Male,Delhi,Returning,13,58526.26,4502.02,Home & Kitchen,High,No,4.6,18-25
CUST0024,38,Female,Pune,Returning,8,40474.32,5059.29,Sports,Medium,Yes,4.4,36-45
CUST0025,50,Female,Ahmedabad,New,2,12473.24,6236.62,Beauty,Low,No,5.0,46-55
CUST0026,29,Male,Jaipur,Returning,20,131947.8,6597.39,Home & Kitchen,Very High,No,4.4,26-35
CUST0027,39,Female,Chennai,New,1,5885.92,5885.92,Home & Kitchen,Low,No,3.5,36-45
CUST0028,61,Male,Hyderabad,New,5,38332.15,7666.43,Sports,Medium,No,4.3,56-65
CUST0029,42,Male,Pune,Returning,9,5730.66,636.74,Beauty,Medium,No,4.5,36-45
CUST0030,44,Female,Chennai,New,17,33461.61,1968.33,Electronics,Very High,Yes,4.6,36-45
CUST0031,59,Female,Pune,New,9,5010.48,556.72,Home & Kitchen,Medium,No,3.6,56-65
CUST0032,45,Male,Delhi,Returning,11,58916.66,5356.06,Beauty,High,Yes,3.5,36-45
CUST0033,33,Male,Delhi,Returning,15,108528.45,7235.23,Beauty,Very High,No,3.4,26-35
CUST0034,32,Female,Lucknow,Returning,6,13956.72,2326.12,Electronics,Medium,Yes,4.9,26-35
CUST0035,64,Female,Bengaluru,New,3,22358.28,7452.76,Sports,Low,Yes,4.3,56-65
CUST0036,61,Female,Mumbai,New,17,16184.17,952.01,Sports,Very High,Yes,3.5,56-65
CUST0037,20,Male,Mumbai,Returning,5,37541.35,7508.27,Fashion,Medium,No,4.1,18-25
CUST0038,54,Male,Pune,New,12,37646.04,3137.17,Sports,High,Yes,3.9,46-55
CUST0039,24,Male,Lucknow,Returning,18,22691.88,1260.66,Electronics,Very High,Yes,3.5,18-25
CUST0040,38,Female,Mumbai,New,14,58016.56,4144.04,Electronics,High,No,4.0,36-45
CUST0041,26,Male,Hyderabad,Returning,11,26684.02,2425.82,Electronics,High,No,4.1,26-35
CUST0042,56,Male,Mumbai,New,9,23728.95,2636.55,Electronics,Medium,Yes,5.0,56-65
CUST0043,35,Female,Kolkata,Returning,2,5609.34,2804.67,Sports,Low,Yes,3.6,26-35
CUST0044,21,Male,Jaipur,Returning,12,78272.28,6522.69,Electronics,High,No,3.1,18-25
CUST0045,42,Female,Lucknow,Returning,3,13631.13,4543.71,Fashion,Low,No,3.4,36-45
CUST0046,31,Female,Hyderabad,New,3,8504.43,2834.81,Electronics,Low,Yes,3.5,26-35
CUST0047,26,Female,Chennai,Returning,1,5077.5,5077.5,Fashion,Low,No,3.8,26-35
CUST0048,43,Male,Hyderabad,Returning,8,46969.04,5871.13,Electronics,Medium,Yes,3.4,36-45
CUST0049,19,Male,Bengaluru,Returning,8,20357.44,2544.68,Home & Kitchen,Medium,No,4.5,18-25
CUST0050,37,Female,Chennai,Returning,11,39617.82,3601.62,Electronics,High,No,3.4,36-45
CUST0051,45,Female,Ahmedabad,New,9,12727.35,1414.15,Sports,Medium,Yes,4.0,36-45
CUST0052,64,Female,Jaipur,New,5,9293.1,1858.62,Beauty,Medium,Yes,5.0,56-65
CUST0053,24,Male,Jaipur,Returning,14,78517.32,5608.38,Electronics,High,No,4.3,18-25
CUST0054,61,Female,Jaipur,New,3,5582.37,1860.79,Sports,Low,No,4.2,56-65
CUST0055,25,Female,Jaipur,Returning,5,22193.65,4438.73,Electronics,Medium,Yes,5.0,18-25
CUST0056,64,Female,Pune,Returning,5,29089.25,5817.85,Fashion,Medium,No,4.7,56-65
CUST0057,52,Female,Jaipur,Returning,19,24730.02,1301.58,Electronics,Very High,No,4.3,46-55
CUST0058,31,Female,Jaipur,Returning,14,66567.76,4754.84,Fashion,High,Yes,3.8,26-35
CUST0059,34,Female,Jaipur,Returning,4,9696.88,2424.22,Home & Kitchen,Low,No,4.0,26-35
CUST0060,53,Male,Lucknow,New,13,100385.35,7721.95,Beauty,High,No,4.0,46-55
CUST0061,57,Male,Pune,New,10,41265.9,4126.59,Fashion,High,No,3.8,56-65
CUST0062,21,Male,Delhi,Returning,18,117808.92,6544.94,Beauty,Very High,Yes,4.1,18-25
